iteration;act.fun;threshold;arquitectura;cor;RMSE;time;N
4; ;0.1;4;0.873804126;625.9415113;0.3;66
5; ;0.2;5;0.832108855;32120.0807;0.58;66
5; ;0.05;5;0.876049773;6278.507246;1.22;66
4; ;0.01;4;0.880028051;739.6740982;3.1;66
