iteration;act.fun;threshold;arquitectura;cor;RMSE;time;N
204;logistic;0.1;6 4 6;0.871226928;1070.954224;12.75;2376
205;logistic;0.2;6 5 1;0.865327537;797.1347808;21.17;2376
157;logistic;0.05;5 3 1;0.883141714;1210.674217;35.67;2376
144;logistic;0.01;4 6 6;0.892478057;440.3620567;119.39;2376
