"iteration","act.fun","threshold","arquitectura","cor","RMSE","time","N"
32,"RELU",0.1,"6 2",0.8725483872568173,198411.5028103823,2.6200000000008004,396
15,"RELU",0.2,"3 3",0.8632332435107821,5804364.606950952,3.550000000000182,396
