"iteration","act.fun","threshold","arquitectura","cor","RMSE","time","N"
28,"tanh",0.1,"5 4",0.8810264341691243,10763.756224314471,1.7399999999997817,396
20,"tanh",0.2,"4 2",0.8722171823530049,8053.660935356627,2.9399999999996,396
30,"tanh",0.05,"5 6",0.8913291182747469,4781.664164064879,6.970000000000255,396
25,"tanh",0.01,"5 1",0.8874190895381285,1191.80952786669,58.789999999999964,396
