"iteration","act.fun","threshold","arquitectura","cor","RMSE","time","N"
5,"RELU",0.1,"5",0.8495320872406225,77068336.75182828,0.3400000000001455,66
6,"RELU",0.2,"6",0.8666038164418989,35643248.626048975,0.6700000000000728,66
4,"RELU",0.05,"4",0.8545225593538699,2985238078.88616,1,66
