"iteration","act.fun","threshold","arquitectura","cor","RMSE","time","N"
215,"tanh",0.1,"6 6 5",0.8893965239745834,1548.6734412613057,16.300000000000182,2376
204,"tanh",0.2,"6 4 6",0.87952639132787,2567.9512067023893,24.99000000000069,2376
171,"tanh",0.05,"5 5 3",0.8911540930401083,1968.3355680793481,62.82999999999993,2376
